-0.0069267	0.0091302	-0.0053615	0.0067494	-0.0038910	0.0049050	-0.0014489	-0.0046247	0.0025956	-0.0019201	-0.0021440	-0.0014769	0.0048715
-0.0002987	-0.0001386	-0.0003789	-0.0015059	0.0016365	-0.0022745	0.0057773	0.0019273	-0.0031414	0.0043601	-0.0041087	-0.0025304	0.0001819
-0.0003033	-0.0001489	-0.0003555	-0.0013426	0.0015819	-0.0019987	0.0011906	0.0015567	-0.0021134	0.0012250	0.0012374	-0.0029423	-0.0003425
-0.0003076	-0.0001639	-0.0003078	-0.0011901	0.0016349	-0.0018132	0.0001805	0.0012098	-0.0024988	0.0012573	-0.0009373	0.0013680	0.0005722
-0.0003100	-0.0001873	-0.0002333	-0.0010484	0.0017143	-0.0016258	0.0000820	0.0009368	-0.0004883	0.0011750	0.0013927	0.0015632	-0.0008210
-0.0003123	-0.0002149	-0.0001342	-0.0009113	0.0017514	-0.0013760	0.0002289	0.0008389	0.0018861	-0.0003515	-0.0007679	-0.0029844	0.0010326
-0.0003126	-0.0002501	-0.0000099	-0.0007794	0.0016919	-0.0010521	0.0003983	0.0009148	0.0006449	-0.0012134	-0.0009192	0.0026597	-0.0011553
-0.0003126	-0.0002886	0.0001359	-0.0006488	0.0015039	-0.0006805	0.0004559	0.0009723	-0.0016501	0.0002995	0.0014831	-0.0014434	0.0011522
-0.0003107	-0.0003337	0.0003026	-0.0005225	0.0011764	-0.0003200	0.0003104	0.0007418	-0.0010574	0.0016529	0.0002625	0.0003081	-0.0010096
-0.0003084	-0.0003810	0.0004849	-0.0004001	0.0007245	-0.0000308	-0.0000470	0.0001539	0.0005118	0.0000397	-0.0020435	0.0001239	0.0007409
-0.0003041	-0.0004339	0.0006808	-0.0002881	0.0001834	0.0001395	-0.0005119	-0.0004928	0.0003508	-0.0019519	0.0010404	0.0001429	-0.0003855
-0.0002995	-0.0004875	0.0008836	-0.0001888	-0.0003928	0.0001817	-0.0008820	-0.0006816	-0.0000902	-0.0004897	0.0015752	-0.0005191	0.0000027
-0.0002926	-0.0005452	0.0010903	-0.0001116	-0.0009415	0.0001224	-0.0009409	-0.0001163	0.0003547	0.0020454	-0.0020239	0.0003348	0.0003385
-0.0002855	-0.0006025	0.0012933	-0.0000602	-0.0013974	0.0000226	-0.0005674	0.0009226	0.0003339	0.0009672	-0.0003110	0.0005259	-0.0005736
-0.0002761	-0.0006622	0.0014891	-0.0000437	-0.0017047	-0.0000498	0.0001697	0.0016567	-0.0002645	-0.0018558	0.0019361	-0.0014476	0.0006545
